ident(String),type(String),name(String),elevation_ft(Integer),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String),coordinates(String)
2AR9,heliport,Island Health Clinic Heliport,1547,NA,US,US-AR,Holiday Island,2AR9,2AR9,"36.45500183105469, -93.71939849853516"
2AZ0,heliport,Helicopter Transport Inc/Office Heliport,1160,NA,US,US-AZ,Phoenix,2AZ0,2AZ0,"33.45000076293945, -111.9800033569336"
2AZ1,small_airport,Indian Hills Airpark,1866,NA,US,US-AZ,Salome,2AZ1,2AZ1,"33.75920104980469, -113.61499786376953"
2AZ2,heliport,Sunstate-Glendale Helistop,1135,NA,US,US-AZ,Peoria,2AZ2,2AZ2,"33.568599700927734, -112.22799682617188"
2AZ3,small_airport,El Mirage-Village Square Airport,1150,NA,US,US-AZ,El Mirage,2AZ3,2AZ3,"33.61280059814453, -112.33499908447266"
2AZ4,small_airport,Millar Airport,1215,NA,US,US-AZ,Maricopa,2AZ4,2AZ4,"33.0536994934082, -112.14600372314453"
2AZ5,small_airport,Donnelly Residence Airport,1518,NA,US,US-AZ,Maricopa,2AZ5,2AZ5,"32.88639831542969, -112.12999725341797"
2AZ6,heliport,Horizon Heliport,2573,NA,US,US-AZ,Oro Valley,2AZ6,2AZ6,"32.410400390625, -110.94200134277344"
2AZ7,small_airport,Mc Gill's Ultralight Field,1360,NA,US,US-AZ,Phoenix,2AZ7,2AZ7,"33.6842002869, -112.164001465"
2AZ8,small_airport,Tubac Ultralight Flightpark Ultralightport,3200,NA,US,US-AZ,Tubac,2AZ8,2AZ8,"31.614500045776367, -111.03600311279297"
2AZ9,small_airport,Ethnos Air Airport,4200,NA,US,US-AZ,Mcneal,2AZ9,2AZ9,"31.606119, -109.654263"
2B1,small_airport,Cape Cod Airport,103,NA,US,US-MA,Marston Mills,2B1,2B1,"41.685298919677734, -70.40229797363281"
2B2,small_airport,Plum Island Airport,11,NA,US,US-MA,Newburyport,2B2,2B2,"42.7958984375, -70.84120178222656"
2B6,small_airport,Hollister Field,1090,NA,US,US-OH,Wilmington,2B6,2B6,"39.437599182128906, -83.70829772949219"
2B9,small_airport,Post Mills Airport,693,NA,US,US-VT,Post Mills,2B9,2B9,"43.8842010498, -72.2537002563"
2C4,small_airport,Flying A Airport,1300,NA,US,US-MN,Chatfield,2C4,2C4,"43.819698333740234, -92.33350372314453"
2C5,small_airport,Almena Airport,740,NA,US,US-MI,Paw Paw,2C5,2C5,"42.252498626708984, -85.85030364990234"
2C6,small_airport,Tri-County Airport,661,NA,US,US-IL,Yates City,2C6,2C6,"40.77399826049805, -90.07440185546875"
2CA0,heliport,Ash Mountain Heliport,1820,NA,US,US-CA,Three Rivers,2CA0,2CA0,"36.49580001831055, -118.83399963378906"
2CA1,heliport,Cosmodyne Heliport,128,NA,US,US-CA,Torrance,2CA1,2CA1,"33.84360122680664, -118.33999633789062"
2CA2,small_airport,Cones Field,1800,NA,US,US-CA,Twentynine Palms,2CA2,2CA2,"34.16279983520508, -116.0479965209961"
2CA3,small_airport,Crosswinds Airport,1835,NA,US,US-CA,Twentynine Palms,2CA3,2CA3,"34.15999984741211, -115.99700164794922"
2CA4,small_airport,Blackinton Airport,1156,NA,US,US-CA,Valley Center,2CA4,2CA4,"33.2588996887207, -117.09200286865234"
2CA5,heliport,Platform Emmy Heliport,87,NA,US,US-CA,Huntington Beach,2CA5,2CA5,"33.66230010986328, -118.04499816894531"
2CA6,heliport,K & T 660 Figueroa Partners Heliport,629,NA,US,US-CA,Los Angeles,2CA6,2CA6,"34.049198150634766, -118.25900268554688"
2CA7,heliport,Prudential Helistop,847,NA,US,US-CA,Woodland Hills,2CA7,2CA7,"34.17559814453125, -118.59500122070312"
2CA8,small_airport,B & E Ranch Airport,2793,NA,US,US-CA,Yucca Valley,2CA8,2CA8,"34.42060089111328, -116.61100006103516"
2CA9,heliport,Castle Dome Army Heliport,850,NA,US,US-AZ,Yuma Proving Ground(Yuma),2CA9,2CA9,"33.016700744628906, -114.26699829101562"
2CD2,heliport,Medical Center Of The Rockies Heliport,5010,NA,US,US-CO,Loveland,2CD2,2CD2,"40.418056, -105"
2CD3,small_airport,Bijou Springs Ranch Airport,6600,NA,US,US-CO,Peyton,2CD3,2CD3,"39.119472, -104.431806"
2CD4,small_airport,West Divide Airport,6352,NA,US,US-CO,Silt,2CD4,2CD4,"39.430788, -107.623111"
2CD5,heliport,Elk Mountain Resort Heliport,8965,NA,US,US-CO,Montrose,2CD5,2CD5,"38.253333, -107.972222"
2CD6,small_airport,Safer Airport,6510,NA,US,US-CO,Elizabeth,2CD6,2CD6,"39.39485, -104.547033"
2CD7,heliport,Turnberry Ranch Heliport,7100,NA,US,US-CO,Carbondale,2CD7,2CD7,"39.469083, -107.135722"
2CD8,heliport,Children'S Hospital Heliport,5557,NA,US,US-CO,Aurora,2CD8,2CD8,"39.742111, -104.83575"
2CD9,small_airport,Kellogg Airstrip,5180,NA,US,US-CO,Laporte,2CD9,2CD9,"40.6814, -105.13855"
2CL0,heliport,Commerce Business Park Heliport,135,NA,US,US-CA,City of Commerce,2CL0,2CL0,"33.986698150634766, -118.16100311279297"
2CL1,heliport,Canyon Creek Heliport,695,NA,US,US-CA,Morgan Hill,2CL1,2CL1,"37.108299255371094, -121.7969970703125"
2CL2,small_airport,Mc Cabe Ranch Airport,65,NA,US,US-CA,Arbuckle,2CL2,2CL2,"39.0110015869, -122.097999573"
2CL3,small_airport,Longbell Ranch Airport,4607,NA,US,US-CA,Tennant,2CL3,2CL3,"41.6421012878418, -121.88999938964844"
2CL4,heliport,American Display Heliport,503,NA,US,US-CA,Redding,2CL4,2CL4,"40.522098541259766, -122.30400085449219"
2CL5,heliport,Kovr Heliport,20,NA,US,US-CA,West Sacramento,2CL5,2CL5,"38.59159851074219, -121.54499816894531"
2CL6,heliport,St John's Regional Medical Center Heliport,76,NA,US,US-CA,Oxnard,2CL6,2CL6,"34.21670150756836, -119.15799713134766"
2CL7,heliport,Glendale Plaza Emergency Heliport,904,NA,US,US-CA,Glendale,2CL7,2CL7,"34.155601501464844, -118.25900268554688"
2CL8,heliport,Inland Valley Medical Center Heliport,1327,NA,US,US-CA,Wildomar,2CL8,2CL8,"33.592499, -117.237"
2CL9,small_airport,Mustang Airport,45,NA,US,US-CA,Galt,2CL9,2CL9,"38.33440017700195, -121.30400085449219"
2CN2,heliport,Dept. Of Water And Power Granada Hills Heliport,1124,NA,US,US-CA,Los Angeles,2CN2,2CN2,"34.289028, -118.471111"
2CN3,small_airport,Tenaja Valley Airport,2350,NA,US,US-CA,Murrieta,2CN3,2CN3,"33.511111, -117.328611"
2CN4,small_airport,Paramount Farms Airport,617,NA,US,US-CA,Lost Hills,2CN4,2CN4,"35.6663888889, -119.896388889"
2CN5,heliport,Regional Medical Center Of San Jose H1 Heliport,107,NA,US,US-CA,San Jose,2CN5,2CN5,"37.3625, -121.850278"
2CN6,heliport,Department Of Water & Power Los Angeles Heliport,654,NA,US,US-CA,Los Angeles,2CN6,2CN6,"34.058056, -118.248611"
2CN7,heliport,Qualcomm Building N Heliport,486,NA,US,US-CA,San Diego,2CN7,2CN7,"32.895694, -117.196083"
2CN8,small_airport,Lake Arrowhead Airport,4610,NA,US,US-CA,Lake Arrowhead,2CN8,2CN8,"34.304167, -117.151389"
2CO0,heliport,"Heli-One American Support, LLC Heliport",4935,NA,US,US-CO,Fort Collins,2CO0,2CO0,"40.583585, -106.985331"
2CO1,small_airport,Cherokee Trail Ranch Airport,7240,NA,US,US-CO,Peyton,2CO1,2CO1,"39.11050033569336, -104.58399963378906"
2CO2,small_airport,CMRS Airdrome Airport,7872,NA,US,US-CO,Poncha Springs,2CO2,2CO2,"38.540298461899994, -106.105003357"
2CO3,small_airport,Jackrabbit Strip,5000,NA,US,US-CO,Milliken,2CO3,2CO3,"40.375, -104.87300109863281"
2CO4,heliport,Presbyterian/St Luke's Medical Center Heliport,5291,NA,US,US-CO,Denver,2CO4,2CO4,"39.7494010925293, -104.96900177001953"
2CO5,small_airport,Edenway Airport,4970,NA,US,US-CO,Pueblo,2CO5,2CO5,"38.347198486328125, -104.63200378417969"
2CO6,heliport,Manor House Heliport,6220,NA,US,US-CO,Littleton,2CO6,2CO6,"39.58689880371094, -105.16899871826172"
2CO7,heliport,St Mary-Corwin Hospital Heliport,4817,NA,US,US-CO,Pueblo,2CO7,2CO7,"38.23360061645508, -104.62300109863281"
2CO8,heliport,East Morgan County Hospital Heliport,4280,NA,US,US-CO,Brush,2CO8,2CO8,"40.25830078125, -103.64900207519531"
2CO9,heliport,Lands End Heliport,4630,NA,US,US-CO,Grand Junction,2CO9,2CO9,"39.072167, -108.511167"
2D1,small_airport,Barber Airport,1062,NA,US,US-OH,Alliance,2D1,2D1,"40.97090148925781, -81.09980010986328"
2D3,seaplane_base,Gooding Lake Seaplane Base,500,NA,US,US-AK,Palmer,2D3,2D3,"61.62770080566406, -149.23899841308594"
2D6,heliport,Bannock Heliport,1100,NA,US,US-OH,Bannock,2D6,2D6,"40.106998443603516, -80.97540283203125"
2D7,small_airport,Beach City Airport,984,NA,US,US-OH,Beach City,2D7,2D7,"40.64659881591797, -81.55609893798828"
2DE2,small_airport,Willaview Airport,63,NA,US,US-DE,Farmington,2DE2,2DE2,"38.85499954223633, -75.57219696044922"
2DE8,small_airport,Murphy's Landing Airport,10,NA,US,US-DE,Milford,2DE8,2DE8,"38.91357, -75.345334"
2.00E+02,small_airport,Sharpe's Strip,810,NA,US,US-MI,Emmett,2.00E+02,2.00E+02,"42.95159912109375, -82.7759017944336"
2.00E+06,small_airport,Groton Municipal Airport,1305,NA,US,US-SD,Groton,,2.00E+06,"45.534401, -98.0951"
2.00E+08,small_airport,Cackleberry Airport,890,NA,US,US-MI,Dexter,2.00E+08,2.00E+08,"42.42499923706055, -83.86940002441406"
2F2,closed,Circle U Heliport,729,NA,US,US-MI,Carsonville,,,"43.491402, -82.623595"
2F6,small_airport,Skiatook Municipal Airport,670,NA,US,US-OK,Skiatook,2F6,2F6,"36.355098724365234, -96.01100158691406"
2FA0,heliport,Kendall District Station Heliport,60,NA,US,US-FL,Miami,2FA0,2FA0,"25.69569969177246, -80.38140106201172"
2FA2,small_airport,Monroe Airpark,75,NA,US,US-FL,Belleview,2FA2,2FA2,"29.01889991760254, -82.11370086669922"
2FA3,closed,Henderson Heliport,8,NA,US,US-FL,Bokeelia,,,"26.5187, -82.1518"
2FA4,small_airport,Southern Ranch Airport,18,NA,US,US-FL,Clewiston,2FA4,2FA4,"26.379499435424805, -80.94560241699219"
2FA5,small_airport,Thunderbird Air Park,67,NA,US,US-FL,Crescent City,2FA5,2FA5,"29.472200393676758, -81.5719985961914"
2FA6,small_airport,Freeflight International Airport,55,NA,US,US-FL,Coleman,2FA6,2FA6,"28.811100006103516, -82.06539916992188"
2FA8,heliport,Central Florida Regional Hospital Heliport,17,NA,US,US-FL,Sanford,2FA8,2FA8,"28.813681, -81.283731"
2FA9,small_airport,Mount Olive Farm Airport,73,NA,US,US-FL,Lamont,2FA9,2FA9,"30.336389, -83.783611"
2FD0,small_airport,Lazyboy Airport,45,NA,US,US-FL,Branford,2FD0,2FD0,"29.9758, -82.907303"
2FD1,small_airport,Hobby Hill STOLport,95,NA,US,US-FL,Weirsdale,2FD1,2FD1,"28.975500106811523, -81.918701171875"
2FD2,small_airport,Marjorie Kennan Rawlings Airport,78,NA,US,US-FL,Island Grove,2FD2,2FD2,"29.47929955, -82.05329895"
2FD3,heliport,Bayfront Medical Center Inc Heliport,128,NA,US,US-FL,St Petersburg,2FD3,2FD3,"27.763399124145508, -82.64230346679688"
2FD4,heliport,Port Everglades Heliport,25,NA,US,US-FL,Fort Lauderdale,2FD4,2FD4,"26.096200942993164, -80.11370086669922"
2FD5,heliport,Adventure Island Heliport,3,NA,US,US-FL,Marathon,2FD5,2FD5,"24.73430061340332, -81.0186996459961"
2FD6,small_airport,Highlander Airport,15,NA,US,US-FL,Oak Hill,2FD6,2FD6,"28.88800048828125, -80.86640167236328"
2FD7,heliport,Air Orlando Heliport,120,NA,US,US-FL,Orlando,2FD7,2FD7,"28.43560028076172, -81.47309875488281"
2FD8,small_airport,Lib Field,50,NA,US,US-FL,Welaka,2FD8,2FD8,"29.521099090576172, -81.6323013305664"
2FD9,heliport,West Volusia Memorial Hospital Helistop,78,NA,US,US-FL,De Land,2FD9,2FD9,"29.043899536132812, -81.31780242919922"
2FL0,small_airport,Crystal Village Airport,113,NA,US,US-FL,Wausau,2FL0,2FL0,"30.456899642944336, -85.68599700927734"
2FL1,heliport,Broward County Civic Arena Heliport,10,NA,US,US-FL,Sunrise,2FL1,2FL1,"26.159400939941406, -80.32559967041016"
2FL2,heliport,Pbso-West County Jail Heliport,14,NA,US,US-FL,Belle Glade,2FL2,2FL2,"26.72439956665039, -80.66439819335938"
2FL3,small_airport,Folsom Airport,155,NA,US,US-FL,Cypress,2FL3,2FL3,"30.67259979248047, -85.08350372314453"
2FL4,heliport,Brady Heliport,4,NA,US,US-FL,Juna Beach,2FL4,2FL4,"26.85580062866211, -80.07469940185547"
2FL5,closed,"Brooksville International Airways, Inc. Heliport",95,NA,US,US-FL,Orlando,,,"28.423901, -81.459702"
2FL7,heliport,Porta Target Heliport,28,NA,US,US-FL,Palm Bay,2FL7,2FL7,"27.9242000579834, -80.61370086669922"
2FL8,small_airport,Tiger Lake Airport,54,NA,US,US-FL,River Ranch,2FL8,2FL8,"27.88360023498535, -81.36309814453125"
2FL9,heliport,Heart of Florida Medical Center Heliport,166,NA,US,US-FL,Haines City,2FL9,2FL9,"28.17970085144043, -81.63899993896484"
2G6,seaplane_base,Mc Laughlin Seaplane Base,7,NA,US,US-VA,Chester,2G6,2G6,"37.320598602299995, -77.3458023071"
2G8,small_airport,Gorham Airport,835,NA,US,US-NH,Gorham,2G8,2G8,"44.39310073852539, -71.19670104980469"
2GA0,small_airport,Kennedy Intranational Airport,695,NA,US,US-GA,Newborn,2GA0,2GA0,"33.5265007019043, -83.63800048828125"
2GA1,small_airport,Poole Farm Airport,830,NA,US,US-GA,Oxford,2GA1,2GA1,"33.68069839477539, -83.85269927978516"
2GA2,small_airport,Swaids Field,85,NA,US,US-GA,Springfield,2GA2,2GA2,"32.39459991455078, -81.28070068359375"
2GA3,small_airport,Wrights Field,383,NA,US,US-GA,Pinehurst,2GA3,2GA3,"32.206298828125, -83.78630065917969"
2GA4,small_airport,Mack's Field,400,NA,US,US-GA,Pinehurst,2GA4,2GA4,"32.17129898071289, -83.75569915771484"
2GA5,small_airport,Windrift Aerodrome,780,NA,US,US-GA,Concord,2GA5,2GA5,"33.04180145263672, -84.43209838867188"
2GA6,small_airport,Catoosa Springs STOLport,930,NA,US,US-GA,Ringgold,2GA6,2GA6,"34.917301177978516, -85.05249786376953"
2GA7,heliport,Morgan Falls Heliport,998,NA,US,US-GA,Roswell,2GA7,2GA7,"33.96590042114258, -84.36209869384766"
2GA8,small_airport,Shannon Flight Strip,677,NA,US,US-GA,Shannon,2GA8,2GA8,"34.34980010986328, -85.07689666748047"
2GA9,small_airport,Lenora Airport,940,NA,US,US-GA,Snellville,2GA9,2GA9,"33.80459976196289, -83.99629974365234"
2GE1,heliport,Burke County Hospital Heliport,264,NA,US,US-GA,Waynesboro,2GE1,2GE1,"33.08440017700195, -82.01309967041016"
2GE2,heliport,Georgia Baptist Urgent Care Heliport,860,NA,US,US-GA,Fayetteville,2GE2,2GE2,"32.44900131225586, -84.47989654541016"
2GE3,small_airport,Smith Airport,550,NA,US,US-GA,Greensboro,2GE3,2GE3,"33.67620086669922, -83.2593002319336"
2GE4,heliport,Georgia Bureau of Investigation Heliport,800,NA,US,US-GA,Decatur,2GE4,2GE4,"33.69110107421875, -84.27220153808594"
2GE5,small_airport,Chukkar Farm Ultralightport,1000,NA,US,US-GA,Alpharetta,2GE5,2GE5,"34.19779968261719, -84.31939697265625"
2GE6,heliport,Virgil Heliport,300,NA,US,US-GA,Albany,2GE6,2GE6,"31.595300674438477, -84.42279815673828"
2GE7,small_airport,Petty Farms Airport,760,NA,US,US-GA,Crandall,2GE7,2GE7,"34.958099365234375, -84.7791976928711"
2GE8,small_airport,Andy Fields Airport,980,NA,US,US-GA,Newnan,2GE8,2GE8,"33.46419906616211, -84.66329956054688"
2GE9,heliport,Tract Heliport,1000,NA,US,US-GA,Snellville,2GE9,2GE9,"33.897499084472656, -84.0239028930664"
2H3,small_airport,Cornell Municipal Airport,1154,NA,US,US-WI,Cornell,2H3,2H3,"45.16550064086914, -91.10569763183594"
2H4,small_airport,Triple H Airport,785,NA,US,US-MI,Parchment,2H4,2H4,"42.365299224853516, -85.55580139160156"
2H5,small_airport,Happy Landings Airport,105,NA,US,US-TX,Houston,2H5,2H5,"29.504899978637695, -95.90010070800781"
2H8,closed,Paulding Airport Inc Airport,721,NA,US,US-OH,Paulding,,,"41.168095, -84.5569"
2I2,closed,Olive Hill-Sellers' Field,1016,NA,US,US-KY,Olive Hill,2I2,2I2,"38.253700256348, -83.142997741699"
2IA0,heliport,Genesis Medical Center East Campus Heliport,677,NA,US,US-IA,Davenport,2IA0,2IA0,"41.54169845581055, -90.55650329589844"
2IA1,heliport,Finley Hospital Heliport,900,NA,US,US-IA,Dubuque,2IA1,2IA1,"42.49580001831055, -90.68489837646484"
2IA2,heliport,Central Community Hospital Heliport,774,NA,US,US-IA,Elkader,2IA2,2IA2,"42.85749816894531, -91.41459655761719"
2IA3,heliport,Medical Heliport,734,NA,US,US-IA,Mount Pleasant,2IA3,2IA3,"40.96200180053711, -91.55989837646484"
2IA4,heliport,Cmc At West Ninth Heliport,922,NA,US,US-IA,Waterloo,2IA4,2IA4,"42.46099853515625, -92.34480285644531"
2IA5,heliport,Grape Community Hospital Heliport,961,NA,US,US-IA,Hamburg,2IA5,2IA5,"40.622501373291016, -95.64969635009766"
2IA6,heliport,Stewart Memorial Hospital Heliport,1243,NA,US,US-IA,Lake City,2IA6,2IA6,"42.27000045776367, -94.73359680175781"
2IA7,closed,Downtown Heliport,724,NA,US,US-IA,Cedar Rapids,,,"41.972801, -91.669296"
2IA8,heliport,Burgess Health Center Heliport,1049,NA,US,US-IA,Onawa,2IA8,2IA8,"42.026401519800004, -96.10639953610001"
2IA9,small_airport,South 80 Field,1210,NA,US,US-IA,Crystal Lake,2IA9,2IA9,"43.190799713134766, -93.77079772949219"
2ID2,small_airport,Linda's Roost Airport,6250,NA,US,US-ID,Mackay,2ID2,2ID2,"43.95439910888672, -113.64700317382812"
2ID3,small_airport,Josephine Ranch Airport,5100,NA,US,US-ID,Triangle,2ID3,2ID3,"42.751833, -116.677333"
2ID4,closed,Silverwood Airport,2350,NA,US,US-ID,Athol,,,"47.908199, -116.709"
2ID5,small_airport,Splan Airport,4987,NA,US,US-ID,McCall,2ID5,2ID5,"44.807467, -116.049483"
2ID6,small_airport,Lemons Field,2280,NA,US,US-ID,Fruitland,2ID6,2ID6,"43.927336, -116.946475"
2ID7,small_airport,Cayuse Creek /US Forest Service Airport,3500,NA,US,US-ID,Cayuse Creek,C64,C64,"46.6665992737, -115.072998047"
2ID9,heliport,St. Benedicts Helipad,4000,NA,US,US-ID,Jerome,2ID9,2ID9,"42.73, -114.518333"
2IG3,closed,Horseshoe Casino Heliport,586,NA,US,US-IN,Whiting,,,"41.687626, -87.500755"
2IG4,small_airport,Ed-Air Airport,426,NA,US,US-IN,Oaktown,I20,I20,"38.851398468, -87.4997024536"
2IG5,heliport,Heli-Bell Museum Heliport,822,NA,US,US-IN,Mentone,2IG5,2IG5,"41.17169952392578, -86.04280090332031"
2IG6,heliport,Bloomington Hospital Heliport,800,NA,US,US-IN,Bloomington,2IG6,2IG6,"39.160556, -86.541389"
2II0,small_airport,Indian Hills Flying Field,860,NA,US,US-IN,Kokomo,2II0,2II0,"40.41740036010742, -86.15249633789062"
2II1,closed,Yoder Airport,905,NA,US,US-IN,Emma,,,"41.609798, -85.525497"
2II2,closed,Indian Creek Airport,380,NA,US,US-IN,Mount Vernon,,,"37.987499, -87.9384"
2II3,small_airport,Stottlemyer Airport,865,NA,US,US-IN,Frankton,2II3,2II3,"40.22669982910156, -85.81639862060547"
2II4,heliport,Psi Heliport,780,NA,US,US-IN,Plainfield,2II4,2II4,"39.71120071411133, -86.3855972290039"
2II5,heliport,Burns International Harbor Heliport,596,NA,US,US-IN,Portage,2II5,2II5,"41.637001037597656, -87.15229797363281"
2II6,small_airport,Baird-Wolford Airport,880,NA,US,US-IN,Tipton,2II6,2II6,"40.264801025390625, -86.10279846191406"
2II7,heliport,K-9 Korner Heliport,825,NA,US,US-IN,Ossian,2II7,2II7,"40.89250183105469, -85.20500183105469"
2II8,heliport,West Central Community Hospital Heliport,486,NA,US,US-IN,Clinton,2II8,2II8,"39.652400970458984, -87.39790344238281"
2II9,heliport,Rice Private Heliport,660,NA,US,US-IN,Covington,2II9,2II9,"40.152801513671875, -87.30809783935547"
2IL0,small_airport,Sneek Airport,909,NA,US,US-IL,Shannon,2IL0,2IL0,"42.181400299072266, -89.6769027709961"
2IL1,small_airport,Mc Cartney Airport,908,NA,US,US-IL,Durand,2IL1,2IL1,"42.413898468, -89.32929992679999"
2IL2,small_airport,Watters Airport,660,NA,US,US-IL,Dwight,2IL2,2IL2,"41.05339813232422, -88.46119689941406"
2IL3,small_airport,Mc Neal's Field,575,NA,US,US-IL,East Moline,2IL3,2IL3,"41.5158996582, -90.37960052490001"
2IL4,small_airport,Mountain Airport,590,NA,US,US-IL,Perry,2IL4,2IL4,"39.77920150756836, -90.74859619140625"
2IL5,small_airport,Sutton Airport,470,NA,US,US-IL,Omaha,2IL5,2IL5,"37.934200286865234, -88.23169708251953"
2IL6,small_airport,Low and Slow Airport,455,NA,US,US-IL,Hardin,2IL6,2IL6,"39.13750076293945, -90.62999725341797"
2IL7,small_airport,Ben Emge Airport,555,NA,US,US-IL,Belleville,2IL7,2IL7,"38.51530075073242, -90.02790069580078"
2IL8,heliport,Il.Dept Of Transportation Heliport,730,NA,US,US-IL,Elgin,2IL8,2IL8,"42.0199377922, -88.28125253319999"
2IL9,small_airport,Meadow Creek Airport,770,NA,US,US-IL,Monee,2IL9,2IL9,"41.43280029296875, -87.78170013427734"
2IN0,small_airport,Skip's Place Airport,858,NA,US,US-IN,Ossian,2IN0,2IN0,"40.83689880371094, -85.17109680175781"
2IN2,small_airport,Gerig's Field,850,NA,US,US-IN,Roanoke,2IN2,2IN2,"41.00920104980469, -85.37139892578125"
2IN3,small_airport,Tatertown Airport,700,NA,US,US-IN,Medaryville,2IN3,2IN3,"41.084800720214844, -86.92420196533203"
2IN4,small_airport,Scott Field,810,NA,US,US-IN,Argos,2IN4,2IN4,"41.25669860839844, -86.189697265625"
2IN5,small_airport,Midkiff Airport,1038,NA,US,US-IN,Sulphur Springs,2IN5,2IN5,"40.015201568603516, -85.472900390625"
2IN6,small_airport,Galloway Airport,830,NA,US,US-IN,Noblesville,2IN6,2IN6,"40.041900634765625, -85.91690063476562"
2IN7,heliport,Columbus Regional Hospital Heliport,632,NA,US,US-IN,Columbus,2IN7,2IN7,"39.21839904785156, -85.8949966430664"
2IN8,heliport,Franciscan Health Crown Point Heliport,758,NA,US,US-IN,Crown Point,2IN8,2IN8,"41.393527, -87.365448"
2IN9,small_airport,Berry Field,795,NA,US,US-IN,New Whiteland,2IN9,2IN9,"39.56669998168945, -86.11810302734375"
2IS1,heliport,Proctor Hospital Heliport,640,NA,US,US-IL,Peoria,2IS1,2IS1,"40.75059890749999, -89.5944976807"
2IS3,small_airport,Jackson Field,760,NA,US,US-IL,Elmira,2IS3,2IS3,"41.17169952392578, -89.80680084228516"
2IS4,small_airport,Ritter Field,552,NA,US,US-IL,Illinois City,2IS4,2IS4,"41.33700180053711, -91.01319885253906"
2IS5,closed,Parrish RLA Restricted Landing Area,640,NA,US,US-IL,Lacon,,,"40.952301, -89.407896"
2IS6,small_airport,Red Shed Field,900,NA,US,US-IL,Lena,2IS6,2IS6,"42.41809844970703, -89.82260131835938"
2IS7,small_airport,Somers Blossom Airport,789,NA,US,US-IL,Lindenwood,2IS7,2IS7,"42.06060028076172, -89.00340270996094"
2IS9,small_airport,Schertz Aerial Service - Cooksville Airport,741,NA,US,US-IL,Cooksville,2IS9,2IS9,"40.5780982971, -88.7078018188"
2J0,small_airport,Wakulla County Airport,11,NA,US,US-FL,Panacea,2J0,2J0,"29.989500045776367, -84.39540100097656"
2J8,small_airport,Pierson Municipal Airport,63,NA,US,US-FL,Pierson,2J8,2J8,"29.25, -81.45919799804688"
